Date,Artist,Song
2/9/1997,Toni Braxton,Un-Break My Heart
2/10/1997,Toni Braxton,Un-Break My Heart
2/11/1997,Toni Braxton,Un-Break My Heart
2/12/1997,Toni Braxton,Un-Break My Heart
2/13/1997,Toni Braxton,Un-Break My Heart
2/14/1997,Toni Braxton,Un-Break My Heart
2/15/1997,Toni Braxton,Un-Break My Heart
2/16/1997,Spice Girls,Wannabe
2/17/1997,Spice Girls,Wannabe
2/18/1997,Spice Girls,Wannabe
2/19/1997,Spice Girls,Wannabe
2/20/1997,Spice Girls,Wannabe
2/21/1997,Spice Girls,Wannabe
2/22/1997,Spice Girls,Wannabe
2/23/1997,Spice Girls,Wannabe
2/24/1997,Spice Girls,Wannabe
2/25/1997,Spice Girls,Wannabe
2/26/1997,Spice Girls,Wannabe
2/27/1997,Spice Girls,Wannabe
2/28/1997,Spice Girls,Wannabe
3/1/1997,Spice Girls,Wannabe
3/2/1997,Spice Girls,Wannabe
3/3/1997,Spice Girls,Wannabe
3/4/1997,Spice Girls,Wannabe
3/5/1997,Spice Girls,Wannabe
3/6/1997,Spice Girls,Wannabe
3/7/1997,Spice Girls,Wannabe
3/8/1997,Spice Girls,Wannabe
3/9/1997,Spice Girls,Wannabe
3/10/1997,Spice Girls,Wannabe
3/11/1997,Spice Girls,Wannabe
3/12/1997,Spice Girls,Wannabe
3/13/1997,Spice Girls,Wannabe
3/14/1997,Spice Girls,Wannabe
3/15/1997,Spice Girls,Wannabe
3/16/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/17/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/18/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/19/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/20/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/21/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/22/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/23/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/24/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/25/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/26/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/27/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/28/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/29/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/30/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
3/31/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/1/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/2/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/3/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/4/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/5/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/6/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/7/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/8/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/9/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/10/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
4/11/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down
