Date,Artist,Song
8/4/1958,Ricky Nelson,Poor Little Fool
8/5/1958,Ricky Nelson,Poor Little Fool
8/6/1958,Ricky Nelson,Poor Little Fool
8/7/1958,Ricky Nelson,Poor Little Fool
8/8/1958,Ricky Nelson,Poor Little Fool
8/9/1958,Ricky Nelson,Poor Little Fool
8/10/1958,Ricky Nelson,Poor Little Fool
8/11/1958,Ricky Nelson,Poor Little Fool
8/12/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/13/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/14/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/15/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/16/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/17/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/18/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/19/1958,The Elegants,Little Star
8/20/1958,The Elegants,Little Star
8/21/1958,The Elegants,Little Star
8/22/1958,The Elegants,Little Star
8/23/1958,The Elegants,Little Star
8/24/1958,The Elegants,Little Star
8/25/1958,The Elegants,Little Star
8/26/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/27/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/28/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/29/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/30/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
8/31/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/1/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/2/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/3/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/4/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/5/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/6/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/7/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/8/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/9/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/10/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/11/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/12/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/13/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/14/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/15/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/16/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/17/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/18/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/19/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/20/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/21/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/22/1958,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré)
9/23/1958,Tommy Edwards,It's All In The Game
9/24/1958,Tommy Edwards,It's All In The Game
9/25/1958,Tommy Edwards,It's All In The Game
9/26/1958,Tommy Edwards,It's All In The Game
9/27/1958,Tommy Edwards,It's All In The Game
9/28/1958,Tommy Edwards,It's All In The Game
9/29/1958,Tommy Edwards,It's All In The Game
9/30/1958,Tommy Edwards,It's All In The Game
10/1/1958,Tommy Edwards,It's All In The Game
10/2/1958,Tommy Edwards,It's All In The Game
10/3/1958,Tommy Edwards,It's All In The Game
10/4/1958,Tommy Edwards,It's All In The Game
10/5/1958,Tommy Edwards,It's All In The Game
10/6/1958,Tommy Edwards,It's All In The Game
10/7/1958,Tommy Edwards,It's All In The Game
10/8/1958,Tommy Edwards,It's All In The Game
10/9/1958,Tommy Edwards,It's All In The Game
10/10/1958,Tommy Edwards,It's All In The Game
10/11/1958,Tommy Edwards,It's All In The Game
10/12/1958,Tommy Edwards,It's All In The Game
10/13/1958,Tommy Edwards,It's All In The Game
10/14/1958,Tommy Edwards,It's All In The Game
10/15/1958,Tommy Edwards,It's All In The Game
10/16/1958,Tommy Edwards,It's All In The Game
10/17/1958,Tommy Edwards,It's All In The Game
10/18/1958,Tommy Edwards,It's All In The Game
10/19/1958,Tommy Edwards,It's All In The Game
10/20/1958,Tommy Edwards,It's All In The Game
10/21/1958,Tommy Edwards,It's All In The Game
10/22/1958,Tommy Edwards,It's All In The Game
10/23/1958,Tommy Edwards,It's All In The Game
10/24/1958,Tommy Edwards,It's All In The Game
10/25/1958,Tommy Edwards,It's All In The Game
10/26/1958,Tommy Edwards,It's All In The Game
10/27/1958,Tommy Edwards,It's All In The Game
10/28/1958,Tommy Edwards,It's All In The Game
10/29/1958,Tommy Edwards,It's All In The Game
10/30/1958,Tommy Edwards,It's All In The Game
10/31/1958,Tommy Edwards,It's All In The Game
11/1/1958,Tommy Edwards,It's All In The Game
11/2/1958,Tommy Edwards,It's All In The Game
11/3/1958,Tommy Edwards,It's All In The Game
11/4/1958,Conway Twitty,It's Only Make Believe
11/5/1958,Conway Twitty,It's Only Make Believe
11/6/1958,Conway Twitty,It's Only Make Believe
11/7/1958,Conway Twitty,It's Only Make Believe
11/8/1958,Conway Twitty,It's Only Make Believe
11/9/1958,Conway Twitty,It's Only Make Believe
11/10/1958,Conway Twitty,It's Only Make Believe
11/11/1958,The Kingston Trio,Tom Dooley
11/12/1958,The Kingston Trio,Tom Dooley
11/13/1958,The Kingston Trio,Tom Dooley
11/14/1958,The Kingston Trio,Tom Dooley
11/15/1958,The Kingston Trio,Tom Dooley
11/16/1958,The Kingston Trio,Tom Dooley
11/17/1958,The Kingston Trio,Tom Dooley
11/18/1958,Conway Twitty,It's Only Make Believe
11/19/1958,Conway Twitty,It's Only Make Believe
11/20/1958,Conway Twitty,It's Only Make Believe
11/21/1958,Conway Twitty,It's Only Make Believe
11/22/1958,Conway Twitty,It's Only Make Believe
11/23/1958,Conway Twitty,It's Only Make Believe
11/24/1958,Conway Twitty,It's Only Make Believe
11/25/1958,The Teddy Bears,"To Know Him, Is To Love Him"
11/26/1958,The Teddy Bears,"To Know Him, Is To Love Him"
11/27/1958,The Teddy Bears,"To Know Him, Is To Love Him"
11/28/1958,The Teddy Bears,"To Know Him, Is To Love Him"
11/29/1958,The Teddy Bears,"To Know Him, Is To Love Him"
11/30/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/1/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/2/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/3/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/4/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/5/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/6/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/7/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/8/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/9/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/10/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/11/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/12/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/13/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/14/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/15/1958,The Teddy Bears,"To Know Him, Is To Love Him"
12/16/1958,The Chipmunks With David Seville,The Chipmunk Song
12/17/1958,The Chipmunks With David Seville,The Chipmunk Song
12/18/1958,The Chipmunks With David Seville,The Chipmunk Song
12/19/1958,The Chipmunks With David Seville,The Chipmunk Song
12/20/1958,The Chipmunks With David Seville,The Chipmunk Song
12/21/1958,The Chipmunks With David Seville,The Chipmunk Song
12/22/1958,The Chipmunks With David Seville,The Chipmunk Song
12/23/1958,The Chipmunks With David Seville,The Chipmunk Song
12/24/1958,The Chipmunks With David Seville,The Chipmunk Song
12/25/1958,The Chipmunks With David Seville,The Chipmunk Song
12/26/1958,The Chipmunks With David Seville,The Chipmunk Song
12/27/1958,The Chipmunks With David Seville,The Chipmunk Song
12/28/1958,The Chipmunks With David Seville,The Chipmunk Song
12/29/1958,The Chipmunks With David Seville,The Chipmunk Song
12/30/1958,The Chipmunks With David Seville,The Chipmunk Song
12/31/1958,The Chipmunks With David Seville,The Chipmunk Song
1/1/1959,The Chipmunks With David Seville,The Chipmunk Song
1/2/1959,The Chipmunks With David Seville,The Chipmunk Song
1/3/1959,The Chipmunks With David Seville,The Chipmunk Song
1/4/1959,The Chipmunks With David Seville,The Chipmunk Song
1/5/1959,The Chipmunks With David Seville,The Chipmunk Song
1/6/1959,The Chipmunks With David Seville,The Chipmunk Song
1/7/1959,The Chipmunks With David Seville,The Chipmunk Song
1/8/1959,The Chipmunks With David Seville,The Chipmunk Song
1/9/1959,The Chipmunks With David Seville,The Chipmunk Song
1/10/1959,The Chipmunks With David Seville,The Chipmunk Song
1/11/1959,The Chipmunks With David Seville,The Chipmunk Song
1/12/1959,The Chipmunks With David Seville,The Chipmunk Song
1/13/1959,The Platters,Smoke Gets In Your Eyes
1/14/1959,The Platters,Smoke Gets In Your Eyes
1/15/1959,The Platters,Smoke Gets In Your Eyes
1/16/1959,The Platters,Smoke Gets In Your Eyes
1/17/1959,The Platters,Smoke Gets In Your Eyes
1/18/1959,The Platters,Smoke Gets In Your Eyes
1/19/1959,The Platters,Smoke Gets In Your Eyes
1/20/1959,The Platters,Smoke Gets In Your Eyes
1/21/1959,The Platters,Smoke Gets In Your Eyes
1/22/1959,The Platters,Smoke Gets In Your Eyes
1/23/1959,The Platters,Smoke Gets In Your Eyes
1/24/1959,The Platters,Smoke Gets In Your Eyes
1/25/1959,The Platters,Smoke Gets In Your Eyes
1/26/1959,The Platters,Smoke Gets In Your Eyes
1/27/1959,The Platters,Smoke Gets In Your Eyes
1/28/1959,The Platters,Smoke Gets In Your Eyes
1/29/1959,The Platters,Smoke Gets In Your Eyes
1/30/1959,The Platters,Smoke Gets In Your Eyes
1/31/1959,The Platters,Smoke Gets In Your Eyes
2/1/1959,The Platters,Smoke Gets In Your Eyes
2/2/1959,The Platters,Smoke Gets In Your Eyes
2/3/1959,Lloyd Price,Stagger Lee
2/4/1959,Lloyd Price,Stagger Lee
2/5/1959,Lloyd Price,Stagger Lee
2/6/1959,Lloyd Price,Stagger Lee
2/7/1959,Lloyd Price,Stagger Lee
2/8/1959,Lloyd Price,Stagger Lee
2/9/1959,Lloyd Price,Stagger Lee
2/10/1959,Lloyd Price,Stagger Lee
2/11/1959,Lloyd Price,Stagger Lee
2/12/1959,Lloyd Price,Stagger Lee
2/13/1959,Lloyd Price,Stagger Lee
2/14/1959,Lloyd Price,Stagger Lee
2/15/1959,Lloyd Price,Stagger Lee
2/16/1959,Lloyd Price,Stagger Lee
2/17/1959,Lloyd Price,Stagger Lee
2/18/1959,Lloyd Price,Stagger Lee
2/19/1959,Lloyd Price,Stagger Lee
2/20/1959,Lloyd Price,Stagger Lee
2/21/1959,Lloyd Price,Stagger Lee
2/22/1959,Lloyd Price,Stagger Lee
2/23/1959,Lloyd Price,Stagger Lee
2/24/1959,Lloyd Price,Stagger Lee
2/25/1959,Lloyd Price,Stagger Lee
2/26/1959,Lloyd Price,Stagger Lee
2/27/1959,Lloyd Price,Stagger Lee
2/28/1959,Lloyd Price,Stagger Lee
3/1/1959,Lloyd Price,Stagger Lee
3/2/1959,Lloyd Price,Stagger Lee
3/3/1959,Frankie Avalon,Venus
3/4/1959,Frankie Avalon,Venus
3/5/1959,Frankie Avalon,Venus
3/6/1959,Frankie Avalon,Venus
3/7/1959,Frankie Avalon,Venus
3/8/1959,Frankie Avalon,Venus
3/9/1959,Frankie Avalon,Venus
3/10/1959,Frankie Avalon,Venus
3/11/1959,Frankie Avalon,Venus
3/12/1959,Frankie Avalon,Venus
3/13/1959,Frankie Avalon,Venus
3/14/1959,Frankie Avalon,Venus
3/15/1959,Frankie Avalon,Venus
3/16/1959,Frankie Avalon,Venus
3/17/1959,Frankie Avalon,Venus
3/18/1959,Frankie Avalon,Venus
3/19/1959,Frankie Avalon,Venus
3/20/1959,Frankie Avalon,Venus
3/21/1959,Frankie Avalon,Venus
3/22/1959,Frankie Avalon,Venus
3/23/1959,Frankie Avalon,Venus
3/24/1959,Frankie Avalon,Venus
3/25/1959,Frankie Avalon,Venus
3/26/1959,Frankie Avalon,Venus
3/27/1959,Frankie Avalon,Venus
3/28/1959,Frankie Avalon,Venus
3/29/1959,Frankie Avalon,Venus
3/30/1959,Frankie Avalon,Venus
3/31/1959,Frankie Avalon,Venus
4/1/1959,Frankie Avalon,Venus
4/2/1959,Frankie Avalon,Venus
4/3/1959,Frankie Avalon,Venus
4/4/1959,Frankie Avalon,Venus
4/5/1959,Frankie Avalon,Venus
4/6/1959,Frankie Avalon,Venus
4/7/1959,The Fleetwoods,Come Softly To Me
4/8/1959,The Fleetwoods,Come Softly To Me
4/9/1959,The Fleetwoods,Come Softly To Me
4/10/1959,The Fleetwoods,Come Softly To Me
4/11/1959,The Fleetwoods,Come Softly To Me
4/12/1959,The Fleetwoods,Come Softly To Me
4/13/1959,The Fleetwoods,Come Softly To Me
4/14/1959,The Fleetwoods,Come Softly To Me
4/15/1959,The Fleetwoods,Come Softly To Me
4/16/1959,The Fleetwoods,Come Softly To Me
4/17/1959,The Fleetwoods,Come Softly To Me
4/18/1959,The Fleetwoods,Come Softly To Me
4/19/1959,The Fleetwoods,Come Softly To Me
4/20/1959,The Fleetwoods,Come Softly To Me
4/21/1959,The Fleetwoods,Come Softly To Me
4/22/1959,The Fleetwoods,Come Softly To Me
4/23/1959,The Fleetwoods,Come Softly To Me
4/24/1959,The Fleetwoods,Come Softly To Me
4/25/1959,The Fleetwoods,Come Softly To Me
4/26/1959,The Fleetwoods,Come Softly To Me
4/27/1959,The Fleetwoods,Come Softly To Me
4/28/1959,The Fleetwoods,Come Softly To Me
4/29/1959,The Fleetwoods,Come Softly To Me
4/30/1959,The Fleetwoods,Come Softly To Me
5/1/1959,The Fleetwoods,Come Softly To Me
5/2/1959,The Fleetwoods,Come Softly To Me
5/3/1959,The Fleetwoods,Come Softly To Me
5/4/1959,The Fleetwoods,Come Softly To Me
5/5/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/6/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/7/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/8/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/9/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/10/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/11/1959,"Dave ""Baby"" Cortez",The Happy Organ
5/12/1959,Wilbert Harrison,Kansas City
5/13/1959,Wilbert Harrison,Kansas City
5/14/1959,Wilbert Harrison,Kansas City
5/15/1959,Wilbert Harrison,Kansas City
5/16/1959,Wilbert Harrison,Kansas City
5/17/1959,Wilbert Harrison,Kansas City
5/18/1959,Wilbert Harrison,Kansas City
5/19/1959,Wilbert Harrison,Kansas City
5/20/1959,Wilbert Harrison,Kansas City
5/21/1959,Wilbert Harrison,Kansas City
5/22/1959,Wilbert Harrison,Kansas City
5/23/1959,Wilbert Harrison,Kansas City
5/24/1959,Wilbert Harrison,Kansas City
5/25/1959,Wilbert Harrison,Kansas City
5/26/1959,Johnny Horton,The Battle Of New Orleans
5/27/1959,Johnny Horton,The Battle Of New Orleans
5/28/1959,Johnny Horton,The Battle Of New Orleans
5/29/1959,Johnny Horton,The Battle Of New Orleans
5/30/1959,Johnny Horton,The Battle Of New Orleans
5/31/1959,Johnny Horton,The Battle Of New Orleans
6/1/1959,Johnny Horton,The Battle Of New Orleans
6/2/1959,Johnny Horton,The Battle Of New Orleans
6/3/1959,Johnny Horton,The Battle Of New Orleans
6/4/1959,Johnny Horton,The Battle Of New Orleans
6/5/1959,Johnny Horton,The Battle Of New Orleans
6/6/1959,Johnny Horton,The Battle Of New Orleans
6/7/1959,Johnny Horton,The Battle Of New Orleans
6/8/1959,Johnny Horton,The Battle Of New Orleans
6/9/1959,Johnny Horton,The Battle Of New Orleans
6/10/1959,Johnny Horton,The Battle Of New Orleans
6/11/1959,Johnny Horton,The Battle Of New Orleans
6/12/1959,Johnny Horton,The Battle Of New Orleans
6/13/1959,Johnny Horton,The Battle Of New Orleans
6/14/1959,Johnny Horton,The Battle Of New Orleans
6/15/1959,Johnny Horton,The Battle Of New Orleans
6/16/1959,Johnny Horton,The Battle Of New Orleans
6/17/1959,Johnny Horton,The Battle Of New Orleans
6/18/1959,Johnny Horton,The Battle Of New Orleans
6/19/1959,Johnny Horton,The Battle Of New Orleans
6/20/1959,Johnny Horton,The Battle Of New Orleans
6/21/1959,Johnny Horton,The Battle Of New Orleans
6/22/1959,Johnny Horton,The Battle Of New Orleans
6/23/1959,Johnny Horton,The Battle Of New Orleans
6/24/1959,Johnny Horton,The Battle Of New Orleans
6/25/1959,Johnny Horton,The Battle Of New Orleans
6/26/1959,Johnny Horton,The Battle Of New Orleans
6/27/1959,Johnny Horton,The Battle Of New Orleans
6/28/1959,Johnny Horton,The Battle Of New Orleans
6/29/1959,Johnny Horton,The Battle Of New Orleans
6/30/1959,Johnny Horton,The Battle Of New Orleans
7/1/1959,Johnny Horton,The Battle Of New Orleans
7/2/1959,Johnny Horton,The Battle Of New Orleans
7/3/1959,Johnny Horton,The Battle Of New Orleans
7/4/1959,Johnny Horton,The Battle Of New Orleans
7/5/1959,Johnny Horton,The Battle Of New Orleans
7/6/1959,Johnny Horton,The Battle Of New Orleans
7/7/1959,Paul Anka,Lonely Boy
7/8/1959,Paul Anka,Lonely Boy
7/9/1959,Paul Anka,Lonely Boy
7/10/1959,Paul Anka,Lonely Boy
7/11/1959,Paul Anka,Lonely Boy
7/12/1959,Paul Anka,Lonely Boy
7/13/1959,Paul Anka,Lonely Boy
7/14/1959,Paul Anka,Lonely Boy
7/15/1959,Paul Anka,Lonely Boy
7/16/1959,Paul Anka,Lonely Boy
7/17/1959,Paul Anka,Lonely Boy
7/18/1959,Paul Anka,Lonely Boy
7/19/1959,Paul Anka,Lonely Boy
7/20/1959,Paul Anka,Lonely Boy
7/21/1959,Paul Anka,Lonely Boy
7/22/1959,Paul Anka,Lonely Boy
7/23/1959,Paul Anka,Lonely Boy
7/24/1959,Paul Anka,Lonely Boy
7/25/1959,Paul Anka,Lonely Boy
7/26/1959,Paul Anka,Lonely Boy
7/27/1959,Paul Anka,Lonely Boy
7/28/1959,Paul Anka,Lonely Boy
7/29/1959,Paul Anka,Lonely Boy
7/30/1959,Paul Anka,Lonely Boy
7/31/1959,Paul Anka,Lonely Boy
8/1/1959,Paul Anka,Lonely Boy
8/2/1959,Paul Anka,Lonely Boy
8/3/1959,Paul Anka,Lonely Boy
8/4/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/5/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/6/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/7/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/8/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/9/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/10/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/11/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/12/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/13/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/14/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/15/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/16/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/17/1959,Elvis Presley With The Jordanaires,A Big Hunk O' Love
8/18/1959,The Browns,The Three Bells
8/19/1959,The Browns,The Three Bells
8/20/1959,The Browns,The Three Bells
8/21/1959,The Browns,The Three Bells
8/22/1959,The Browns,The Three Bells
8/23/1959,The Browns,The Three Bells
8/24/1959,The Browns,The Three Bells
8/25/1959,The Browns,The Three Bells
8/26/1959,The Browns,The Three Bells
8/27/1959,The Browns,The Three Bells
8/28/1959,The Browns,The Three Bells
8/29/1959,The Browns,The Three Bells
8/30/1959,The Browns,The Three Bells
8/31/1959,The Browns,The Three Bells
9/1/1959,The Browns,The Three Bells
9/2/1959,The Browns,The Three Bells
9/3/1959,The Browns,The Three Bells
9/4/1959,The Browns,The Three Bells
9/5/1959,The Browns,The Three Bells
9/6/1959,The Browns,The Three Bells
9/7/1959,The Browns,The Three Bells
9/8/1959,The Browns,The Three Bells
9/9/1959,The Browns,The Three Bells
9/10/1959,The Browns,The Three Bells
9/11/1959,The Browns,The Three Bells
9/12/1959,The Browns,The Three Bells
9/13/1959,The Browns,The Three Bells
9/14/1959,The Browns,The Three Bells
9/15/1959,Santo & Johnny,Sleep Walk
9/16/1959,Santo & Johnny,Sleep Walk
9/17/1959,Santo & Johnny,Sleep Walk
9/18/1959,Santo & Johnny,Sleep Walk
9/19/1959,Santo & Johnny,Sleep Walk
9/20/1959,Santo & Johnny,Sleep Walk
9/21/1959,Santo & Johnny,Sleep Walk
9/22/1959,Santo & Johnny,Sleep Walk
9/23/1959,Santo & Johnny,Sleep Walk
9/24/1959,Santo & Johnny,Sleep Walk
9/25/1959,Santo & Johnny,Sleep Walk
9/26/1959,Santo & Johnny,Sleep Walk
9/27/1959,Santo & Johnny,Sleep Walk
9/28/1959,Santo & Johnny,Sleep Walk
9/29/1959,Bobby Darin,Mack The Knife
9/30/1959,Bobby Darin,Mack The Knife
10/1/1959,Bobby Darin,Mack The Knife
10/2/1959,Bobby Darin,Mack The Knife
10/3/1959,Bobby Darin,Mack The Knife
10/4/1959,Bobby Darin,Mack The Knife
10/5/1959,Bobby Darin,Mack The Knife
10/6/1959,Bobby Darin,Mack The Knife
10/7/1959,Bobby Darin,Mack The Knife
10/8/1959,Bobby Darin,Mack The Knife
10/9/1959,Bobby Darin,Mack The Knife
10/10/1959,Bobby Darin,Mack The Knife
10/11/1959,Bobby Darin,Mack The Knife
10/12/1959,Bobby Darin,Mack The Knife
10/13/1959,Bobby Darin,Mack The Knife
10/14/1959,Bobby Darin,Mack The Knife
10/15/1959,Bobby Darin,Mack The Knife
10/16/1959,Bobby Darin,Mack The Knife
10/17/1959,Bobby Darin,Mack The Knife
10/18/1959,Bobby Darin,Mack The Knife
10/19/1959,Bobby Darin,Mack The Knife
10/20/1959,Bobby Darin,Mack The Knife
10/21/1959,Bobby Darin,Mack The Knife
10/22/1959,Bobby Darin,Mack The Knife
10/23/1959,Bobby Darin,Mack The Knife
10/24/1959,Bobby Darin,Mack The Knife
10/25/1959,Bobby Darin,Mack The Knife
10/26/1959,Bobby Darin,Mack The Knife
10/27/1959,Bobby Darin,Mack The Knife
10/28/1959,Bobby Darin,Mack The Knife
10/29/1959,Bobby Darin,Mack The Knife
10/30/1959,Bobby Darin,Mack The Knife
10/31/1959,Bobby Darin,Mack The Knife
11/1/1959,Bobby Darin,Mack The Knife
11/2/1959,Bobby Darin,Mack The Knife
11/3/1959,Bobby Darin,Mack The Knife
11/4/1959,Bobby Darin,Mack The Knife
11/5/1959,Bobby Darin,Mack The Knife
11/6/1959,Bobby Darin,Mack The Knife
11/7/1959,Bobby Darin,Mack The Knife
11/8/1959,Bobby Darin,Mack The Knife
11/9/1959,Bobby Darin,Mack The Knife
11/10/1959,The Fleetwoods,Mr. Blue
11/11/1959,The Fleetwoods,Mr. Blue
11/12/1959,The Fleetwoods,Mr. Blue
11/13/1959,The Fleetwoods,Mr. Blue
11/14/1959,The Fleetwoods,Mr. Blue
11/15/1959,The Fleetwoods,Mr. Blue
11/16/1959,The Fleetwoods,Mr. Blue
11/17/1959,Bobby Darin,Mack The Knife
11/18/1959,Bobby Darin,Mack The Knife
11/19/1959,Bobby Darin,Mack The Knife
11/20/1959,Bobby Darin,Mack The Knife
11/21/1959,Bobby Darin,Mack The Knife
11/22/1959,Bobby Darin,Mack The Knife
11/23/1959,Bobby Darin,Mack The Knife
11/24/1959,Bobby Darin,Mack The Knife
11/25/1959,Bobby Darin,Mack The Knife
11/26/1959,Bobby Darin,Mack The Knife
11/27/1959,Bobby Darin,Mack The Knife
11/28/1959,Bobby Darin,Mack The Knife
11/29/1959,Bobby Darin,Mack The Knife
11/30/1959,Bobby Darin,Mack The Knife
12/1/1959,Bobby Darin,Mack The Knife
12/2/1959,Bobby Darin,Mack The Knife
12/3/1959,Bobby Darin,Mack The Knife
12/4/1959,Bobby Darin,Mack The Knife
12/5/1959,Bobby Darin,Mack The Knife
12/6/1959,Bobby Darin,Mack The Knife
12/7/1959,Bobby Darin,Mack The Knife
12/8/1959,Guy Mitchell,Heartaches By The Number
12/9/1959,Guy Mitchell,Heartaches By The Number
12/10/1959,Guy Mitchell,Heartaches By The Number
12/11/1959,Guy Mitchell,Heartaches By The Number
12/12/1959,Guy Mitchell,Heartaches By The Number
12/13/1959,Guy Mitchell,Heartaches By The Number
12/14/1959,Guy Mitchell,Heartaches By The Number
12/15/1959,Guy Mitchell,Heartaches By The Number
12/16/1959,Guy Mitchell,Heartaches By The Number
12/17/1959,Guy Mitchell,Heartaches By The Number
12/18/1959,Guy Mitchell,Heartaches By The Number
12/19/1959,Guy Mitchell,Heartaches By The Number
12/20/1959,Guy Mitchell,Heartaches By The Number
12/21/1959,Guy Mitchell,Heartaches By The Number
12/22/1959,Frankie Avalon,Why
12/23/1959,Frankie Avalon,Why
12/24/1959,Frankie Avalon,Why
12/25/1959,Frankie Avalon,Why
12/26/1959,Frankie Avalon,Why
12/27/1959,Frankie Avalon,Why
12/28/1959,Frankie Avalon,Why
12/29/1959,Marty Robbins,El Paso
12/30/1959,Marty Robbins,El Paso
12/31/1959,Marty Robbins,El Paso
1/1/1960,Marty Robbins,El Paso
1/2/1960,Marty Robbins,El Paso
1/3/1960,Marty Robbins,El Paso
1/4/1960,Marty Robbins,El Paso
1/5/1960,Marty Robbins,El Paso
1/6/1960,Marty Robbins,El Paso
1/7/1960,Marty Robbins,El Paso
1/8/1960,Marty Robbins,El Paso
1/9/1960,Marty Robbins,El Paso
1/10/1960,Marty Robbins,El Paso
1/11/1960,Marty Robbins,El Paso
1/12/1960,Johnny Preston,Running Bear
1/13/1960,Johnny Preston,Running Bear
1/14/1960,Johnny Preston,Running Bear
1/15/1960,Johnny Preston,Running Bear
1/16/1960,Johnny Preston,Running Bear
1/17/1960,Johnny Preston,Running Bear
1/18/1960,Johnny Preston,Running Bear
1/19/1960,Johnny Preston,Running Bear
1/20/1960,Johnny Preston,Running Bear
1/21/1960,Johnny Preston,Running Bear
1/22/1960,Johnny Preston,Running Bear
1/23/1960,Johnny Preston,Running Bear
1/24/1960,Johnny Preston,Running Bear
1/25/1960,Johnny Preston,Running Bear
1/26/1960,Johnny Preston,Running Bear
1/27/1960,Johnny Preston,Running Bear
1/28/1960,Johnny Preston,Running Bear
1/29/1960,Johnny Preston,Running Bear
1/30/1960,Johnny Preston,Running Bear
1/31/1960,Johnny Preston,Running Bear
2/1/1960,Johnny Preston,Running Bear
2/2/1960,Mark Dinning,Teen Angel
2/3/1960,Mark Dinning,Teen Angel
2/4/1960,Mark Dinning,Teen Angel
2/5/1960,Mark Dinning,Teen Angel
2/6/1960,Mark Dinning,Teen Angel
2/7/1960,Mark Dinning,Teen Angel
2/8/1960,Mark Dinning,Teen Angel
