date,event,day,year
6/17,Ali ibn Abu Talib chosen kalief of Islam.,17-Jun,656
6/17,"Sir Francis Drake lands on coast of California at Drakes Bay, names it ""New Albion"".",17-Jun,1579
6/17,"Mumtaz Mahal dies during childbirth. Her husband, Mughal emperor Shah Jahan I, then spends more than 20 years building her tomb, the Taj Mahal.",17-Jun,1631
6/17,"French Revolution: During the meeting of the Estates-General, the Third Estate proclaims itself the'National Assembly'.",17-Jun,1789
6/17,Charles Goodyear obtains his 1st rubber patent.,17-Jun,1837
6/17,Republican Party opens its 1st national convention in Philadelphia.,17-Jun,1856
6/18,"Coronation of the Chinese governor Li Yuan as Emperor Gaozu of Tang, the new Emperor of China, initiating three centuries of the Tang Dynasty's rule over China.",18-Jun,618
6/18,War of 1812 begins as US declares war against Britain.,18-Jun,1812
6/18,Battle of Waterloo; Napoleon and France defeated by British forces under Wellington and Prussian troops under Blucher.,18-Jun,1815
6/18,"American aviator Amelia Earhart becomes the 1st woman to fly across the Atlantic Ocean landing at Burry Port, Wales.",18-Jun,1928
6/18,"Winston Churchill's ""this was their finest hour"" speech urging perseverance during Battle of Britain delivered to British House of Commons.",18-Jun,1940
6/18,UN Commission on Human Rights adopts the International Declaration of Human Rights.,18-Jun,1948
6/19,Sir Robert Peel introduces the Metropolitan Police Act 1829 into Parliament to establish a unified police force for London.,19-Jun,1829
6/19,Slavery outlawed in US territories.,19-Jun,1862
6/19,"World War II: First day of the 2 day Battle of the Philippine Sea, US naval forces defeat Japanese fleet.",19-Jun,1944
6/19,Colombian drug lord Pablo Escobar surrenders to police.,19-Jun,1991
6/20,Battle of the Catalaunian Plains: Roman and Visigoths forces defeat Attila the Hun in north east France.,20-Jun,451
6/20,The University of Oxford receives its charter.,20-Jun,1214
6/20,Tennis Court Oath (for a new constitution) in France made at Versailles.,20-Jun,1789
6/20,Samuel Morse patents his telegraph.,20-Jun,1840
6/20,"1st female PhD from an American University, earned by Caroline Willard Baldwin (in Science) at Cornell University.",20-Jun,1895
6/21,US Constitution comes into effect when New Hampshire is the 9th state to ratify it.,21-Jun,1788
6/21,First Victoria Cross won during bombardment of Bomarsund in the Aland Islands (Crimean War).,21-Jun,1854
6/21,Lord Mountbatten resigns as Governor General of India (formerly the last Viceroy).,21-Jun,1948
6/21,"7.7 Manjil-Rudbar Earthquake with hundreds of aftershocks hits Iran; killing about 50,000.",21-Jun,1990
6/21,English mathematician Andrew Wiles proves last theorem of Fermat.,21-Jun,1993
6/22,"Galileo Galilei forced to recant his Copernican views that the Earth orbits the Sun by the Pope (Vatican only admits it was wrong on Oct 31, 1992!).",22-Jun,1633
6/22,Royal Greenwich Observatory established in England by Charles II.,22-Jun,1675
6/22,"Somerset v Stewart court case finds slavery unsupported by English common law, encouraging the abolitionist movement.",22-Jun,1772
6/22,Beginning of the June Days uprising in Paris by French workers.,22-Jun,1848
6/22,The CSS Shenandoah fires the last shot of the American Civil War in the Bering Strait to indicate surrender.,22-Jun,1865
6/22,"Germany, Italy and Romania declare war on the Soviet Union.",22-Jun,1941
6/23,"World's oldest parliament, the Icelandic Parliament, the Alþingi (anglicised as Althing or Althingi), established.",23-Jun,930
6/23,Christopher Latham Sholes patents the typewriter with a QWERTY keyboard.,23-Jun,1868
6/23,1st contraceptive pill is made available for purchase in the U.S..,23-Jun,1960
6/23,"Hurricane Agnes becomes America's costliest natural disaster, effecting 15 states, with 119 deaths and $3 billion in damage.",23-Jun,1972
6/23,1st extraterrestrial message sent from Earth into space.,23-Jun,1974
6/23,"Supertramp's ""Breakfast in America"" becomes No. 1 album in the US featuring ""Take the Long Way Home"".",23-Jun,1979
6/23,Brexit referendum: United Kingdom votes to leave the European Union.,23-Jun,2016
6/24,John Cabot claims Eastern Canada for England (believes he has found Asia in Nova Scotia).,24-Jun,1497
6/24,Henry VIII is crowned King of England in Westminster Abbey.,24-Jun,1509
6/24,1st republican constitution in France adopted.,24-Jun,1793
6/24,Napoleon Bonaparte's forces invade Russia crossing the Neman River.,24-Jun,1812
6/24,"US President Franklin Pierce signs the Gadsden Purchase, buying 29,670 square-miles (76,800 square km) from Mexico for $10 million (now southern Arizona and New Mexico).",24-Jun,1853
6/24,"1st exhibition by Pablo Picasso, 19, opens in Paris.",24-Jun,1901
6/24,"1st radar detection of planes, Anacostia, Washington, D.C..",24-Jun,1930
6/25,"Venetian Elena Cornaro Piscopia is awarded a doctorate of philosophy, the 1st woman to receive a university doctoral degree or PhD.",25-Jun,1678
6/25,"Battle of the Little Bighorn: US 7th Cavalry under Brevet Major General George Armstrong Custer wiped out by Sioux and Cheyenne warriors led by Chiefs Crazy Horse and Sitting Bull in what has become famously known as ""Custer's Last Stand"".",25-Jun,1876
6/25,US President Herbert Hoover authorizes building of Boulder Dam (Hoover Dam).,25-Jun,1929
6/25,"North Korea invades South Korea, beginning the Korean War.",25-Jun,1950
6/26,Roman Emperor Julian is killed during retreat from the Sassanid Empire. General Jovian is proclaimed Emperor by troops on the battlefield..,26-Jun,363
6/26,"Battle of Fleurus: major victory by forces of the First French Republic under General Jean-Baptiste Jourdan over the Coalition Army (Great Britain, Hanover, Dutch Republic, and Habsburgs) first use of reconnaissance balloon.",26-Jun,1794
6/26,The first 62 recipients are awarded the Victoria Cross for valour in the Crimean war by Queen Victoria.,26-Jun,1857
6/26,1st US troops arrive in France during World War I.,26-Jun,1917
6/26,"Panama Canal's third set of locks opens for commercial traffic, doubling the Canal’s capacity at an estimated cost of $5.25 billion.",26-Jun,2016
6/27,Juan Rodríguez Cabrillo sets sail from the Mexican port of Navidad to explore the west coast of North America on behalf of the Spanish Empire.,27-Jun,1542
6/27,"1st women's magazine ""Ladies' Mercury"" published (London).",27-Jun,1693
6/27,"War of the Austrian Succession: Battle of Dettingen: in Bavaria, King George II of Britain personally leads troops into battle. The last time a British monarch commanded troops in the field..",27-Jun,1743
6/27,"1st color TV demo, performed by Bell Laboratories in NYC.",27-Jun,1929
6/27,"North Korean troops reach Seoul, UN asks members to aid South Korea, Harry Truman orders US Air Force & Navy into Korean conflict.",27-Jun,1950
6/27,"1st atomic power station opens - Obninsk, near Moscow in Russia.",27-Jun,1954
6/28,"Ottomans defeat Serbian army in the bloody Battle of Kosovo, opening the way for the Ottoman conquest of Southeastern Europe.",28-Jun,1389
6/28,King Carlos I elected Holy Roman Catholic Emperor Charles V.,28-Jun,1519
6/28,"Coronation of Queen Victoria in Westminster Abbey, London.",28-Jun,1838
6/28,"Franz Ferdinand, Archduke of Austria and his wife Sophie are assassinated in Sarajevo by young Serb nationalist Gavrilo Princip at 10.45, the casus belli of WWI.",28-Jun,1914
6/28,"Treaty of Versailles, ending WWI and establishing the League of Nations, is signed in France.",28-Jun,1919
6/29,"Shakespeare's Globe Theatre in London, England, burns down during a performance of ""Henry VIII"".",29-Jun,1613
6/29,"The Imperial Chinese Court issues what is essentially a declaration of war against the foreigners in China and blames hostilities on them, giving license to Boxers for even greater ferocity.",29-Jun,1900
6/29,South Africa begins implementing apartheid; no mixed marriages.,29-Jun,1949
6/29,Civil Rights Act of 1964 passed after 83-day filibuster in the US Senate.,29-Jun,1964
6/29,Vietnam War: US planes bomb the North Vietnamese capital Hanoi and the port city of Haiphong for the first time.,29-Jun,1966
6/29,US reopens Guantanamo Naval Base to process refugees.,29-Jun,1994
6/30,"Spanish conquistadors are expelled from Tenochtitlan following an Aztec revolt against their rule under Hernán Cortés during ""La Noche Triste"" (the Night of Sadness). Many soldiers drown in the escape, and Aztec emperor Montezuma II dies in the struggle.",30-Jun,1520
6/30,Famous debate on Charles Darwin's theory of evolution held at the Oxford University Museum and dominated by arguments between Thomas Henry Huxley and Bishop Samuel Wilberforce.,30-Jun,1860
6/30,"In Russia, the ""Potemkin"" arrives at Odessa, where sailors take the bodies of dead crewman ashore; sailors join civilians in revolutionary actions of the'1905 Revolution'.",30-Jun,1905
6/30,"A giant fireball, most likely caused by the air burst of a large meteoroid or comet flattens 80 million trees near the Stony Tunguska River in Yeniseysk Governorate, Russia, in the largest impact event in recorded history.",30-Jun,1908
6/30,Night of Long Knives - Adolf Hitler stages a bloody purge of the Nazi party.,30-Jun,1934
6/30,Superman 1st appears in DC Comics' Action Comics Series issue #1.,30-Jun,1938
6/30,South African ANC President Nelson Mandela meets with UN Secretary-General Boutros Boutros-Ghali at Dakar.,30-Jun,1992
7/1,"Matsuo Basho, zen poet, leaves for 150 days journey on Honshu, Japan.",1-Jul,1689
7/1,The joint reading of Charles Darwin and Alfred Russel Wallace's papers on evolution to the Linnean Society.,1-Jul,1858
7/1,"Battle of Gettysburg, Pennsylvania; Lee's northward advance halted.",1-Jul,1863
7/1,"The Dominion of Canada is formed, comprising the provinces of New Brunswick, Nova Scotia, Ontario & Quebec, with John A. Macdonald serving as the first Prime Minister.",1-Jul,1867
7/1,"First day of the Battle of the Somme: the British Army suffers its worst day, losing 19,240 men (WWI).",1-Jul,1916
7/1,The Communist Party of China is founded and Chen Duxiu elected its leader.,1-Jul,1921
7/1,Bulova Watch Co pays $9 for 1st ever network TV commercial.,1-Jul,1941
7/1,United Kingdom returns Hong Kong and the New Territories to the People's Republic of China.,1-Jul,1997
7/2,"Incident at Xuanwu Gate: in fear of assassination, Li Shimin ambushes and kills his rival brothers Li Yuanji and Li Jiancheng.",2-Jul,626
7/2,"Continental Congress resolves ""these United Colonies are & of right ought to be Free and Independent States"".",2-Jul,1776
7/2,"Bahia Independence Day: the end of Portuguese rule in Brazil, with the final defeat of the Portuguese crown loyalists in the province of Bahia.",2-Jul,1823
7/2,US President Lyndon B. Johnson signs Civil Rights Act and Voting Rights Act into law.,2-Jul,1964
7/2,"Panic in tunnel of Mecca: 1,426 pilgrims trampled to death.",2-Jul,1990
7/3,"Battle of Adrianople: Roman Emperor Constantine I defeats his co-emperor Licinius, who flees to Byzantium.",3-Jul,324
7/3,"Battle of Horns of Hattin: Saladin, Sultan of Egypt and Syria, destroys Jerusalem's crusader army.",3-Jul,1187
7/3,"Battle of Gettysburg, largest battle ever fought on the American continent, ends in a major victory for the Union during the US Civil War.",3-Jul,1863
7/3,"Dow Jones publishes its 1st stock index, the Dow Jones Transportation Average.",3-Jul,1884
7/3,"UK House of Commons announces that the Stone of Scone, aka the Stone of Destiny, used in the coronation of Scottish (and subsequently English and British monarchs), will be returned to Scotland after 700 years in Westminster Abbey.",3-Jul,1996
7/4,US Congress proclaims the Declaration of Independence and independence from Britain.,4-Jul,1776
7/4,"James Hutton, geologist, publicly reads an abstract of his theory of uniformitarianism for the first time at the meeting of the Royal Society of Edinburgh.",4-Jul,1785
7/4,The Louisiana Purchase is announced to the American people by President Thomas Jefferson.,4-Jul,1803
7/4,"Huskar Colliery Mining Disaster in Silkstone England: mining pit floods drown 26 children, leads to 1842'Mines and Collieries Act' bans women and children working underground.",4-Jul,1838
7/4,Hungarian physicist Leo Szilard patents the chain-reaction design for the atomic bomb.,4-Jul,1934
7/4,North Korea tests first successful intercontinental ballistic missile into Sea of Japan.,4-Jul,2017
7/5,Isaac Newton's great work PRINCIPIA published by Royal Society in England. Outlines his laws of motion and universal gravitation..,5-Jul,1687
7/5,Venezuelan Declaration of Independence: 7 provinces declare themselves independent of Spain.,5-Jul,1811
7/5,"Frederick Douglass, fugitive slave, delivers his'What to the Slave Is the Fourth of July?' speech to the Ladies' Anti-Slavery Society in Rochester, condemns the celebration as hypocritical sham.",5-Jul,1852
7/5,US Secret Service begins operating under the Treasury Department.,5-Jul,1865
7/5,"Amazon.com founded in Bellevue, Washington by Jeff Bezos.",5-Jul,1994
7/5,First Indonesian presidential election by the people - first round (eventually won by Susilo Bambang Yudhoyono).,5-Jul,2004
7/6,Papal bull of Pope Clement VI issued during the Black Death stating Jews not to blame and urging their protection.,6-Jul,1348
7/6,"US Congress unanimously resolves the name of US currency to the ""dollar"" and adopts decimal coinage.",6-Jul,1785
7/6,Louis Pasteur successfully tests an anti-rabies vaccine.,6-Jul,1885
7/6,"The Central Executive Committee accepts the Treaty of Union, signed in Moscow in December 1922, and the Russian Empire becomes the Union of Soviet Socialist Republics.",6-Jul,1923
7/6,Nigerian Civil War erupts as Nigerian forces invade the secessionist state of Biafra.,6-Jul,1967
7/6,"California passes 1st ""no fault"" divorce law.",6-Jul,1970
7/7,Battle of Otumba Mexico: Hernán Cortés and the Tlaxcalans defeat a numerically superior Aztec force.,7-Jul,1520
7/7,British Museum founded by an Act of Parliament (opens in 1759).,7-Jul,1753
7/7,"Japanese and Chinese troops clash at the Marco Polo Bridge, beginning of Second Sino-Japanese War.",7-Jul,1937
7/7,Alleged and disputed Roswell UFO incident occured.,7-Jul,1947
7/7,Coordinated terrorist bomb blasts strike London's public transport system during the morning rush hour killing 52 and injuring 700.,7-Jul,2005
7/7,"Influenced by Live 8, the G8 leaders pledge to double 2004 levels of aid to Africa from US$25 to US$50 billion by the year 2010.",7-Jul,2005
7/8,"First Crusade: 15,000 starving Christian soldiers march in religious procession around Jerusalem as its Muslim defenders look on.",8-Jul,1099
7/8,"Portuguese navigator Vasco da Gama departs on his first voyage, becoming the 1st European to reach India by sea.",8-Jul,1497
7/8,Vermont introduces new constitution making it the 1st US state to abolish slavery.,8-Jul,1777
7/8,Dr Benjamin Waterhouse gives 1st cowpox vaccination in the US to his son to prevent smallpox.,8-Jul,1800
7/8,"Commodore Matthew C. Perry sails his frigate Susquehanna into Tokyo Bay, opening Japan to Western influence and trade.",8-Jul,1853
7/8,500th anniversary of the Russian Orthodox Church celebrated in Moscow.,8-Jul,1948
7/9,"Turko-Mongol ruler Tamerlane (Timur) destroys Baghdad, killing 20,000.",9-Jul,1401
7/9,"Russo-Swedish War: Second Battle of Svensksund - in the Baltic Sea, the Swedish Navy captures one third of the Russian fleet.",9-Jul,1790
7/9,"Tennessee and South Carolina are 1st to ratify the 14th Amendment to the US constitution, guaranteeing civil rights.",9-Jul,1868
7/9,"Daniel Hale Williams III repairs the torn pericardium of a knife wound patient, James Cornish, without penicillin or blood transfusion.",9-Jul,1893
7/9,"British battleship HMS Vanguard explodes at Scapa Flow (the result of an internal explosion of faulty cordite), killing 804.",9-Jul,1917
7/9,Henry Kissinger visits the People's Republic of China to negotiate a detente between the US and China.,9-Jul,1971
7/9,"The African Union is established in Addis Ababa, Ethiopia. The first chairman is Thabo Mbeki, President of South Africa..",9-Jul,2002
7/9,Iraqi Prime Minister Haider al-Abadi proclaims victory over Islamic State forces in Mosul.,9-Jul,2017
7/10,American Revolution: Louis XVI of France declares war on the Kingdom of Great Britain.,10-Jul,1778
7/10,Battle of Britain begins as Nazi forces attack shipping convoys in the English Channel.,10-Jul,1940
7/10,"French foreign intelligence agents blow up the Greenpeace boat Rainbow Warrior in Auckland harbor, New Zealand to prevent it interfering with French nuclear tests in the South Pacific. Dutch photographer Fernando Pereira is killed..",10-Jul,1985
7/10,Boris Yeltsin sworn in as 1st elected President of the Russian Federation.,10-Jul,1991
7/10,The American Episcopal Church becomes the first to approve a rite for blessing gay marriages.,10-Jul,2012
7/11,Chinese fleet commander Zheng He sets sail to explore the world for the first time.,11-Jul,1405
7/11,Pope Clement VII excommunicates England's King Henry VIII.,11-Jul,1533
7/11,"English poet John Keats writes ""In the Cottage Where Burns is Born"", ""Lines Written in the Highlands"", and ""Gadfly"".",11-Jul,1818
7/11,Kate Edger becomes New Zealand’s first woman graduate and first woman in the British Empire to earn a Bachelor of Arts.,11-Jul,1877
7/11,Franklin Roosevelt announces that he will run for a fourth term as President of the United States.,11-Jul,1944
7/11,"7,000 Bosnian Muslim men are massacred when Bosnian Serbs overrun the UN'safe haven' of Srebrenica.",11-Jul,1995
7/12,Britain's King Charles II ratifies Habeas Corpus Act allowing prisoners right to be imprisoned to be examined by a court.,12-Jul,1679
7/12,"Battle of Boyne: in Ireland, Protestant King William III defeats English Catholic King James II.",12-Jul,1690
7/12,"French Revolution: The Civil Constitution of the Clergy is adopted, putting the Catholic Church in France under the control of the state.",12-Jul,1790
7/12,Former United States Secretary of the Treasury Alexander Hamilton dies after being shot in a pistol duel by Vice President Aaron Burr.,12-Jul,1804
7/12,"In New Zealand, British forces invade Waikato, home of the Maori King Movement, beginning a new phase of the wars between Maori and Colonial British.",12-Jul,1863
7/12,"150,000 Ulstermen gather and resolve to resist Irish Home Rule by force of arms; since the British Liberals have promised the Irish nationalists Home Rule, civil war appears imminent.",12-Jul,1913
7/12,World War II: Battle of Prokhorovka - Russians defeat German forces in one of the largest ever tank battles.,12-Jul,1943
7/12,US Surgeon General Leroy Burney connects smoking with lung cancer.,12-Jul,1957
7/13,Captain James Cook begins 2nd voyage aboard the Resolution to the South Seas to search for Terra Australis (Southern continent).,13-Jul,1772
7/13,Source of Mississippi River discovered by American geographer Henry Schoolcraft.,13-Jul,1832
7/13,"Greatest tank battle in history ends with Russia's defeat of Germany at Kursk, almost 6,000 tanks take part, 2,900 lost by Germany.",13-Jul,1943
7/13,A. C. Bhaktivedanta Swami Prabhupada founds the International Society for Krishna Consciousness (Hare Krishna movement) in New York City.,13-Jul,1966
7/13,Live Aid concerts held at both Wembley Stadium (London) and John F. Kennedy Stadium (Philadelphia) raises over $70 million for African famine relief.,13-Jul,1985
7/14,Bastille Day - the French Revolution begins with the fall of the Bastille Prison.,14-Jul,1789
7/14,"US Sedition Act prohibits ""false, scandalous & malicious"" writing against government.",14-Jul,1798
7/14,1st public demonstration of ice made by refrigeration by Florida physician John Gorrie.,14-Jul,1850
7/14,All non-Nazi parties are banned in Germany.,14-Jul,1933
7/14,"6,000 Lithuanian Jews are exterminated at Viszalsyan Camp.",14-Jul,1941
7/14,"386BSD is released by Lynne Jolitz and William Jolitz, starting the open source operating system revolution. Linus Torvalds release ""Linux"" soon afterwards.",14-Jul,1992
7/15,City of Jerusalem is captured and plundered by Christian forces during the First Crusade.,15-Jul,1099
7/15,"John Ball, a leader in the Peasants' Revolt, is hung, drawn and quartered in the presence of Richard II of England.",15-Jul,1381
7/15,"Battle of Grunwald (First Battle of Tannenburg, Battle of Žalgiris), one of Medieval Europe's largest battles during Poland-Lithuanian Teutonic War. Polish King W?adys?aw Jagie??o and Lithuanian Grand Duke Vytautas defeat Teutonic Ulrich von Jungingen.",15-Jul,1410
7/15,The Rosetta Stone is found in the Egyptian village of Rosetta by French Captain Pierre-François Bouchard during Napoleon's Egyptian Campaign.,15-Jul,1799
7/15,"18 Nobel laureates sign the Mainau Declaration against nuclear weapons, later co-signed by 34 more laureates.",15-Jul,1955
7/16,Muslim Era begins - Muhammad begins flight from Mecca to Medina (Hijra).,16-Jul,622
7/16,Three Roman legates fracture relations between Western and Eastern Christian churches by placing invalid Papal Bull of Excommunication on altar of Hagia Sophia during liturgy. Often dated start of the East-West Schism..,16-Jul,1054
7/16,"Public debate between Martin Luther & theologist John Eck at Pleissenburg Castle in Liepzig, Luther denies the divine right of the Pope.",16-Jul,1519
7/16,"La Paz, Bolivia declares its independence from the Spanish Crown and forms the Junta Tuitiva. The first independent government in Spanish America, led by Pedro Domingo Murillo.",16-Jul,1809
7/16,Adolf Hitler orders preparations for the invasion of Britain (Operation Sealion).,16-Jul,1940
7/17,"6 inhabitants of Carthage, North Africa executed for being Christians. Earliest record of Christianity in this part of the world..",17-Jul,180
7/17,"Siege of Constantinople begins during the fourth Crusade, Crusaders aboad a Venetian fleet attack the city.",17-Jul,1203
7/17,Catherine II becomes tsarina of Russia following the murder of Peter III.,17-Jul,1762
7/17,"The Romanov royal family and several of their retainers are executed by a Bolshevik firing squad in the basement of Ipatiev House, in Yekaterinburg, Siberia.",17-Jul,1918
7/17,"Spanish generals Francisco Franco and Emilio Mola lead a right-wing uprising, starting the Spanish Civil War.",17-Jul,1936
7/17,"Potsdam Conference (Truman, Stalin, Churchill) holds 1st meeting.",17-Jul,1945
7/17,"Malaysia Airlines Flight 17 is shot down over Eastern Ukraine by a Buk surface-to-air missile launched from pro-Russian separatist-controlled territory, killing all 283 passengers and 15 crew on board.",17-Jul,2014
7/18,Great Fire of Rome begins under the Emperor Nero.,18-Jul,64
7/18,"Adolf Hitler publishes Mein Kampf (original title was the catchy ""Four and a Half Years (of Struggle) Against Lies, Stupidity and Cowardice"").",18-Jul,1925
7/18,Spanish Civil War : General Francisco Franco issues manifesto and leads an uprising in the Spanish army stationed in Morocco.,18-Jul,1936
7/18,Kim Jong-un is officially appointed Supreme Leader of North Korea and given the rank of Marshal in the Korean People's Army.,18-Jul,2012
7/18,"Detroit, Michigan, files for bankruptcy, becoming the largest US municipal bankruptcy ever at $18.5 billion.",18-Jul,2013
7/19,Astronomer Johannes Kepler has an epiphany and develops his theory of the geometrical basis of the universe while teaching in Graz.,19-Jul,1595
7/19,"The steamship SS Great Britain is launched, designed by Isambard Kingdom Brunel, is the first ocean-going craft with an iron hull or screw propeller and the largest vessel afloat in the world.",19-Jul,1843
7/19,"1st US women's rights convention held in Seneca Falls NY, organised by Elizabeth Cady Stanton and Lucretia Mott.",19-Jul,1848
7/19,"British PM Winston Churchill launches his ""V for Victory"" campaign.",19-Jul,1941
7/20,"Sioux Indian Chief Sitting Bull, surrenders to US federal troops.",20-Jul,1881
7/20,Congresswoman Alice Mary Robertson becomes the first woman to preside over the floor of US House of Representatives.,20-Jul,1921
7/20,"Armistice for Indo-China signed, Vietnam separates into North and South.",20-Jul,1954
7/20,"1st Moon Landing: Neil Armstrong and Buzz Aldrin step out from Apollo spacecraft 11, 530 million watch live global broadcast.",20-Jul,1969
7/20,"US Viking 1 lands on Mars at Chryse Planitia, 1st Martian landing.",20-Jul,1976
7/20,China announces a plan against “foreign garbage” banning 24 categories of plastic and recyclable waste from 2018.,20-Jul,2017
7/21,Crete Earthquake followed by tsunami around the Eastern Mediterranean allegedly destroys Alexandria.,21-Jul,365
7/21,"First Battle of Bull Run [Battle of First Manassas], 1st major battle of the US Civil War is fought near Manassas, Virginia, Confederate victory.",21-Jul,1861
7/21,"After 13 years, the 4,607-mile Trans-Siberian railway is completed.",21-Jul,1904
7/21,"John T. Scopes found guilty of teaching evolution in the “Scopes monkey trial”, Dayton, Tennessee, fined $100 & costs.",21-Jul,1925
7/21,Neil Armstrong becomes the first person to step on the Moon at 2:56:15 AM (GMT).,21-Jul,1969
7/21,"Aswan High Dam opens in Egypt, enables human control of the flooding of the Nile.",21-Jul,1970
7/21,On This Day changes its domain name and brand from HistoryOrb.com to OnThisDay.com.,21-Jul,2015
7/22,First Crusade: Godfrey of Bouillon is elected the first Defender of the Holy Sepulchre of The Kingdom of Jerusalem.,22-Jul,1099
7/22,Battle at Nandorfehervar (Belgrade): Hungarian army under Janos Hunyadi beats Sultan Murad II.,22-Jul,1456
7/22,First Congress of Vienna settles issues between Poland and Holy Roman Empire - rise of the Habsburgs influence.,22-Jul,1515
7/22,"Warsaw Ghetto Jews (300,000) are sent to Treblinka Extermination Camp.",22-Jul,1942
7/22,Sarawak achieves independence from British colonial rule.,22-Jul,1963
7/22,"Norway is the victim of twin terror attacks, the first a bomb blast targeting government buildings in central Oslo, second a massacre at a youth camp on island of Utøya.",22-Jul,2011
7/23,Frederick II crowned King of the Romans (King of the Germans) in Aachen.,23-Jul,1215
7/23,"William Austin Burt patents America's first ""typographer"" (typewriter).",23-Jul,1829
7/23,"Union Act passed by British Parliament, uniting Upper & Lower Canada.",23-Jul,1840
7/23,Conference of Bretton Woods signed; IMF operations begin.,23-Jul,1944
7/23,"Frank Sinatra's album ""Strangers In The Night"" is No. 1 on the US charts, (Grammy for Record Of The Year and Best Male Vocal Performance).",23-Jul,1966
7/23,Comet Hale-Bopp is discovered and becomes visible to the naked eye nearly a year later.,23-Jul,1995
7/24,"Jacques Cartier lands in Canada, claims it for France.",24-Jul,1534
7/24,Mary Queen of Scots is forced to abdicate; her 1-year-old son becomes King James VI of Scots.,24-Jul,1567
7/24,Benjamin Bonneville leads the first wagon train across the Rocky Mountains by Wyoming's South Pass.,24-Jul,1832
7/24,"American explorer Hiram Bingham discovers Machu Picchu, the Lost City of the Incas.",24-Jul,1911
7/24,"Operation Gomorrah: RAF begins bombing Hamburg (till 3rd August), creating a firestorm and killing 42,600 people.",24-Jul,1943
7/25,Constantine I is proclaimed Roman Emperor by his troops.,25-Jul,306
7/25,"English engineer George Stephenson introduces his first steam locomotive, a travelling engine designed for hauling coal on the Killingworth wagonway named Blücher.",25-Jul,1814
7/25,Benito Mussolini dismissed as Italian Premier and arrested on the authority of King Victor Emmanuel III.,25-Jul,1943
7/25,"World War II: Operation Spring - one of Canada's bloodiest days, 18,444 casualties and 5,021 killed.",25-Jul,1944
7/25,Scientists announce the first human stem cells to be cultured in a laboratory using tissue taken from aborted human embryos.,25-Jul,1997
7/26,Battle of Siffin during the first Muslim civil war between Ali ibn Abi Talib and Muawiyah I beside Euphrates River.,26-Jul,657
7/26,Francisco Pizarro receives royal charter for the west coast of South America.,26-Jul,1519
7/26,"The Surrey Iron Railway, arguably the world's first public railway, opens in south London.",26-Jul,1803
7/26,United States Attorney General Charles Joseph Bonaparte issues an order to immediately staff the Office of the Chief Examiner (later renamed the Federal Bureau of Investigation).,26-Jul,1908
7/26,"Declaration of Potsdam: US, Britain and China demand the Japanese surrender during WWII.",26-Jul,1945
7/26,"Fidel Castro leads a failed attack on the Moncada Barracks, intended to spark a revolution in Cuba.",26-Jul,1953
7/27,Sir Walter Raleigh brings first tobacco to England from Virginia.,27-Jul,1586
7/27,Battle of Killicrankie: Jacobite Scottish Highlanders under Viscount Dundee defeat royalist force under General MacKay.,27-Jul,1689
7/27,US Congress establishes Department of Foreign Affairs now referred to as the State Department.,27-Jul,1789
7/27,"Atlantic telegraph cable successfully laid (1,686 miles long).",27-Jul,1866
7/27,Frederick Banting and Charles Best isolate insulin at the University of Toronto.,27-Jul,1921
7/28,"French Revolution figure Robespierre & 22 other leaders of ""the Terror"" guillotined to thunderous cheers in Paris.",28-Jul,1794
7/28,Austria-Hungary decides against mediation and declares war on Serbia - first declaration of war of WWI.,28-Jul,1914
7/28,"Silent Parade organised by James Weldon Johnson of 10,000 African-Americans who march on 5th Ave in NYC to protest against lynching.",28-Jul,1917
7/28,"Operation Gomorrah: RAF bombing over Hamburg causes a firestorm that kills 42,600 German civilians.",28-Jul,1943
7/28,"Tangshan Earthquake, 8.2 in magnitude kills over 240,000 Northern China in the largest loss of life from an earthquake in the 20th century.",28-Jul,1976
7/28,The Provisional Irish Republican Army call an end to their thirty year long armed campaign in Northern Ireland.,28-Jul,2005
7/29,The Battle of Gravelines - Spanish Armada damaged and scattered by the English fleet.,29-Jul,1588
7/29,"Samuel de Champlain shoots and kills two Iroquois chiefs at Ticonderoga, New York setting the stage for French-Iroquois conflicts for the next 150 years.",29-Jul,1609
7/29,Irish Potato Famine: Tipperary Revolt - an unsuccessful nationalist revolt against British rule put down by police.,29-Jul,1848
7/29,US Secretary of State William Howard Taft makes secret agreement with Japanese Prime Minister Katsura agreeing to Japanese free rein in Korea in return for non-interference with the US in the Philippines.,29-Jul,1905
7/29,Adolf Hitler becomes leader of the National Socialist German Workers Party.,29-Jul,1921
7/29,Moscow ends the blockade of West Berlin.,29-Jul,1949
7/30,"Frederick I (Barbarossa), Holy Roman Emperor, crowned King of Burgundy.",30-Jul,1178
7/30,"First defenestration of Prague: anti-Catholic Hussites, followers of executed reformer Jan Hus, storm Prague town hall and throw the judge, mayor and several city council members out the windows. They die in the fall or killed by crowd outside..",30-Jul,1419
7/30,"House of Burgesses Virginia forms, 1st elective American governing body.",30-Jul,1619
7/30,"Indian Wars: Chief Pocatello of the Shoshone tribe signs the Treaty of Box Elder, promising to stop harassing the emigrant trails in southern Idaho and northern Utah.",30-Jul,1863
7/30,"The Charles, considered the world’s first ""oil tanker"", departs from the United States headed for Europe with a bulk capacity of 7,000 barrels of oil.",30-Jul,1869
7/30,"1st Penguin book is published, starting the paperback revolution.",30-Jul,1935
